timestamp,value
1723733100,35.279069767441
1723733400,34.5315614618
1723733700,33.9766666667
1723734000,32.086378737541
1723734300,31.7275747508
1723734600,31.2358803987
1723734900,30.163333333333
1723735200,29.2491694352
1723735500,28.232558139534
1723735800,27.49
1723736100,27.033222591362
1723736400,26.2857142857
1723736700,25.461794019933
1723737000,25.743333333333
1723737300,24.0365448505
1723737600,24.252491694352
1723737900,24.272425249169
1723738200,22.382059800664
1723738500,20.49
1723738800,20.7607973422
1723739100,20.643333333333
1723739400,19.956810631229
1723739700,19.4318936877
1723740000,19.4318936877
1723740300,18.896666666666
1723740600,17.860465116279
1723740900,17.777408637873
1723741200,17.43853820598
1723741500,16.69
1723741800,16.5415282392
1723742100,15.72757475083
1723742400,15.5681063123
1723742700,15.91
1723743000,15.5514950166
1723743300,15.365448504983
1723743600,14.946666666666
1723743900,14.704318936877
1723744200,14.903654485049
1723744500,14.382059800664
1723744800,13.556666666666
1723745100,12.784053156146
1723745400,12.6877076412
1723745700,12.05
1723746000,12.0
1723746300,12.232558139534
1723746600,11.31561461794
1723746900,10.97
1723747200,10.966777408637
1723747500,10.073089701
1723747800,9.64
1723748100,8.794019933554
1723748400,8.3388704319
1723748700,7.493333333333
1723749000,7.093023255813
1723749300,6.6146179402
1723749600,6.026578073089
1723749900,5.810631229235
1723750200,5.506666666666
1723750500,5.418604651162
1723750800,4.873754152823
1723751100,4.674418604651
1723751400,4.199335548172
1723751700,4.276666666666
1723752000,3.840531561461
1723752300,4.06976744186
1723752600,3.97342192691
1723752900,3.303333333333
1723753200,3.368770764119
1723753500,3.272425249169
1723753800,3.086378737541
1723754100,2.853333333333
1723754400,2.787375415282
1723754700,2.830564784053
1723755000,2.644518272425
1723755300,2.28
1723755600,2.179401993355
1723755900,2.279069767441
1723756200,2.1926910299
1723756500,2.063333333333
1723756800,2.013289036544
1723757100,1.933554817275
1723757400,1.873754152823
1723757700,1.996677740863
1723758000,1.706666666666
1723758300,1.707641196013
1723758600,1.714285714285
1723758900,1.593333333333
1723759200,1.495016611295
1723759500,1.627906976744
1723759800,1.637873754152
1723760100,1.55
1723760400,1.501661129568
1723760700,1.558139534883
1723761000,1.564784053156
1723761300,1.563333333333
1723761600,1.584717607973
1723761900,1.418604651162
1723762500,1.352159468438
1723762800,1.302325581395
1723763100,1.363333333333
1723763400,1.488372093023
1723763700,1.418604651162
1723764000,1.571428571428
1723764300,1.35
1723764600,1.212624584717
1723764900,1.079734219269
1723765200,1.196666666666
1723765500,1.239202657807
1723766100,1.05
1723766400,1.182724252491
1723766700,1.169435215946
1723767000,1.328903654485
1723767300,1.033222591362
1723767600,0.97
1723767900,1.04318936877
1723768200,1.09634551495
1723768500,1.11
1723768800,1.009966777408
1723769100,1.0
1723769400,0.996677740863
1723769700,0.983388704318
1723770000,0.926666666666
1723770300,0.926666666666
1723770600,1.063122923588
1723770900,1.153333333333
1723771200,1.003322259136
1723771500,1.013289036544
1723771800,1.019933554817
1723772100,1.136666666666
1723772400,1.086378737541
1723772700,1.049833887043
1723773000,0.99
1723773300,1.099667774086
1723773600,1.073089700996
1723773900,1.263333333333
1723774200,1.249169435215
1723774500,1.225913621262
1723774800,1.225913621262
1723775100,0.910299003322
1723775400,1.146179401993
1723775700,1.236666666666
1723776000,1.129568106312
1723776300,1.099667774086
1723776600,1.215946843853
1723776900,1.093333333333
1723777200,1.122923588039
1723777500,1.388704318936
1723777800,1.433333333333
1723778100,1.395348837209
1723778400,1.511627906976
1723778700,1.395348837209
1723779000,1.395348837209
1723779300,1.47
1723779600,1.697674418604
1723779900,1.7707641196
1723780200,1.773333333333
1723780500,1.996677740863
1723780800,2.182724252491
1723781100,2.466666666666
1723781400,2.903654485049
1723781700,2.996677740863
1723782000,2.774086378737
1723782300,3.166666666666
1723782600,3.511627906976
1723782900,3.790697674418
1723783200,4.295681063122
1723783500,4.295681063122
1723783800,4.22
1723784100,5.209302325581
1723784400,5.345514950166
1723784700,6.750830564784
1723785000,11.285714285714
1723785300,10.461794019933
1723785600,11.0
1723785900,12.076411960132
1723786200,13.033333333333
1723786500,15.767441860465
1723786800,17.242524916943
1723787100,18.32
1723787400,20.0930232558
1723787700,21.873754152823
1723788000,21.873754152823
1723788300,24.548172757475
1723788600,38.2466666667
1723788900,44.3189368771
1723789200,47.2292358804
1723789500,47.4219269103
1723789800,47.8704318937
1723790100,51.9033333333
1723790400,52.1926910299
1723790700,52.9102990033
1723791000,54.73089701
1723791300,57.3533333333
1723791600,61.2890365448
1723791900,68.8438538206
1723792200,68.3687707641
1723792500,68.3687707641
1723792800,69.4053156146
1723793100,80.7242524917
1723793400,86.18
1723793700,82.8438538206
1723794000,78.6478405315
1723794300,74.53820598
1723794600,73.3222591362
1723794900,76.5847176079
1723795200,77.2966666666
1723795500,77.3289036545
1723795800,73.7508305648
1723796100,73.4684385382
1723796400,78.6013289036
1723796700,78.6013289036
1723797000,79.4166666666
1723797300,76.1993355481
1723797600,76.2093023256
1723797900,75.6245847176
1723798200,77.1933333333
1723798500,75.9136212624
1723798800,72.9833887043
1723799100,73.3289036545
1723799400,75.6766666666
1723799700,73.3853820598
1723800000,73.0930232558
1723800300,71.24
1723800600,72.8637873754
