ds,yhat
2024-11-18 08:55:00,84.715904
2024-11-18 09:00:00,86.185524
2024-11-18 09:05:00,87.861115
2024-11-18 09:10:00,89.955315
2024-11-18 09:15:00,107.66582
2024-11-18 09:20:00,107.49372
2024-11-18 09:25:00,100.06264
2024-11-18 09:30:00,102.08811
2024-11-18 09:35:00,99.213486
2024-11-18 09:40:00,99.54178
2024-11-18 09:45:00,102.42181
2024-11-18 09:50:00,99.744736
2024-11-18 09:55:00,95.841095
2024-11-18 10:00:00,97.723724
2024-11-18 10:05:00,97.26455
2024-11-18 10:10:00,100.56197
2024-11-18 10:15:00,100.87505
2024-11-18 10:20:00,106.17177
2024-11-18 10:25:00,106.71925
2024-11-18 10:30:00,101.86635
2024-11-18 10:35:00,102.56876
2024-11-18 10:40:00,104.785904
2024-11-18 10:45:00,98.989944
2024-11-18 10:50:00,97.46081
2024-11-18 10:55:00,101.46755
2024-11-18 11:00:00,102.07246
2024-11-18 11:05:00,97.14297
2024-11-18 11:10:00,97.62124
2024-11-18 11:15:00,94.81559
2024-11-18 11:20:00,95.57251
2024-11-18 11:25:00,96.043884
2024-11-18 11:30:00,94.395325
2024-11-18 11:35:00,94.35663
2024-11-18 11:40:00,96.70937
2024-11-18 11:45:00,95.3183
2024-11-18 11:50:00,92.91275
2024-11-18 11:55:00,90.210304
2024-11-18 12:00:00,89.56511
2024-11-18 12:05:00,87.19906
2024-11-18 12:10:00,86.07681
2024-11-18 12:15:00,79.85058
2024-11-18 12:20:00,74.85285
2024-11-18 12:25:00,68.84732
2024-11-18 12:30:00,68.24142
2024-11-18 12:35:00,67.06611
2024-11-18 12:40:00,63.999233
2024-11-18 12:45:00,63.337406
2024-11-18 12:50:00,61.20635
2024-11-18 12:55:00,59.784023
2024-11-18 13:00:00,59.92389
2024-11-18 13:05:00,59.93365
2024-11-18 13:10:00,61.79755
2024-11-18 13:15:00,64.19404
2024-11-18 13:20:00,64.28483
2024-11-18 13:25:00,64.19314
2024-11-18 13:30:00,64.88847
2024-11-18 13:35:00,65.92815
2024-11-18 13:40:00,66.148544
2024-11-18 13:45:00,68.55762
2024-11-18 13:50:00,67.93903
2024-11-18 13:55:00,68.09791
2024-11-18 14:00:00,69.580345
2024-11-18 14:05:00,71.0637
2024-11-18 14:10:00,71.26807
2024-11-18 14:15:00,76.27032
2024-11-18 14:20:00,75.58448
2024-11-18 14:25:00,73.79517
2024-11-18 14:30:00,74.0279
2024-11-18 14:35:00,74.50932
2024-11-18 14:40:00,74.51204
2024-11-18 14:45:00,75.01192
2024-11-18 14:50:00,77.01247
2024-11-18 14:55:00,75.25179
2024-11-18 15:00:00,72.68608
2024-11-18 15:05:00,73.075424
2024-11-18 15:10:00,74.57262
2024-11-18 15:15:00,78.66317
2024-11-18 15:20:00,76.59548
